task,accuracy,num_correct,num_total,scaling_mode,sw_alpha,sw_alpha0,sw_lambda,path
hellaswag,0.408,204,500,exponential,1.0,3.0,1.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_3_0_lambda_1_0.json
piqa,0.74,370,500,,2.0,,,results/olmo1b/exp_sw_awq/piqa_alpha_2_0.json
piqa,0.728,364,500,,3.0,,,results/olmo1b/exp_sw_awq/piqa_alpha_3_0.json
piqa,0.724,362,500,,0.5,,,results/olmo1b/exp_sw_awq/piqa_alpha_0_5.json
piqa,0.744,372,500,,,,,results/olmo1b/exp_sw_awq/piqa_awq_baseline.json
piqa,0.732,366,500,,2.5,,,results/olmo1b/exp_sw_awq/piqa_alpha_2_5.json
piqa,0.744,372,500,,1.0,,,results/olmo1b/exp_sw_awq/piqa_alpha_1_0.json
piqa,0.746,373,500,,1.5,,,results/olmo1b/exp_sw_awq/piqa_alpha_1_5.json
piqa,0.744,372,500,exponential,1.0,1.0,0.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_0_lambda_0_0.json
piqa,0.744,372,500,exponential,1.0,1.0,0.25,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_0_lambda_0_25.json
piqa,0.744,372,500,exponential,1.0,1.0,0.5,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_0_lambda_0_5.json
piqa,0.746,373,500,exponential,1.0,1.0,0.75,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_0_lambda_0_75.json
piqa,0.744,372,500,exponential,1.0,1.0,1.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_0_lambda_1_0.json
piqa,0.746,373,500,exponential,1.0,1.5,0.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_5_lambda_0_0.json
piqa,0.746,373,500,exponential,1.0,1.5,0.25,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_5_lambda_0_25.json
piqa,0.746,373,500,exponential,1.0,1.5,0.5,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_5_lambda_0_5.json
piqa,0.748,374,500,exponential,1.0,1.5,0.75,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_5_lambda_0_75.json
piqa,0.746,373,500,exponential,1.0,1.5,1.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_1_5_lambda_1_0.json
piqa,0.74,370,500,exponential,1.0,2.0,0.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_0_lambda_0_0.json
piqa,0.74,370,500,exponential,1.0,2.0,0.25,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_0_lambda_0_25.json
piqa,0.742,371,500,exponential,1.0,2.0,0.5,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_0_lambda_0_5.json
piqa,0.74,370,500,exponential,1.0,2.0,0.75,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_0_lambda_0_75.json
piqa,0.74,370,500,exponential,1.0,2.0,1.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_0_lambda_1_0.json
piqa,0.732,366,500,exponential,1.0,2.5,0.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_5_lambda_0_0.json
piqa,0.734,367,500,exponential,1.0,2.5,0.25,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_5_lambda_0_25.json
piqa,0.73,365,500,exponential,1.0,2.5,0.5,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_5_lambda_0_5.json
piqa,0.732,366,500,exponential,1.0,2.5,0.75,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_5_lambda_0_75.json
piqa,0.734,367,500,exponential,1.0,2.5,1.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_2_5_lambda_1_0.json
piqa,0.728,364,500,exponential,1.0,3.0,0.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_3_0_lambda_0_0.json
piqa,0.728,364,500,exponential,1.0,3.0,0.25,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_3_0_lambda_0_25.json
piqa,0.73,365,500,exponential,1.0,3.0,0.5,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_3_0_lambda_0_5.json
piqa,0.732,366,500,exponential,1.0,3.0,0.75,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_3_0_lambda_0_75.json
piqa,0.73,365,500,exponential,1.0,3.0,1.0,results/olmo1b/exp_sw_awq_piqa/piqa_exp_alpha0_3_0_lambda_1_0.json
sciq,0.866,433,500,,0.5,,,results/olmo1b/exp_sw_awq/sciq_alpha_0_5.json
sciq,0.936,468,500,,1.0,,,results/olmo1b/exp_sw_awq/sciq_alpha_1_0.json
sciq,0.922,461,500,,3.0,,,results/olmo1b/exp_sw_awq/sciq_alpha_3_0.json
sciq,0.932,466,500,,1.5,,,results/olmo1b/exp_sw_awq/sciq_alpha_1_5.json
sciq,0.93,465,500,,2.0,,,results/olmo1b/exp_sw_awq/sciq_alpha_2_0.json
sciq,0.924,462,500,,2.5,,,results/olmo1b/exp_sw_awq/sciq_alpha_2_5.json
sciq,0.936,468,500,exponential,1.0,1.0,0.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_0_lambda_0_0.json
sciq,0.936,468,500,exponential,1.0,1.0,0.25,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_0_lambda_0_25.json
sciq,0.936,468,500,exponential,1.0,1.0,0.5,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_0_lambda_0_5.json
sciq,0.936,468,500,exponential,1.0,1.0,0.75,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_0_lambda_0_75.json
sciq,0.936,468,500,exponential,1.0,1.0,1.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_0_lambda_1_0.json
sciq,0.932,466,500,exponential,1.0,1.5,0.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_5_lambda_0_0.json
sciq,0.932,466,500,exponential,1.0,1.5,0.25,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_5_lambda_0_25.json
sciq,0.932,466,500,exponential,1.0,1.5,0.5,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_5_lambda_0_5.json
sciq,0.932,466,500,exponential,1.0,1.5,0.75,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_5_lambda_0_75.json
sciq,0.932,466,500,exponential,1.0,1.5,1.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_1_5_lambda_1_0.json
sciq,0.93,465,500,exponential,1.0,2.0,0.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_0_lambda_0_0.json
sciq,0.932,466,500,exponential,1.0,2.0,0.25,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_0_lambda_0_25.json
sciq,0.932,466,500,exponential,1.0,2.0,0.5,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_0_lambda_0_5.json
sciq,0.93,465,500,exponential,1.0,2.0,0.75,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_0_lambda_0_75.json
sciq,0.93,465,500,exponential,1.0,2.0,1.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_0_lambda_1_0.json
sciq,0.924,462,500,exponential,1.0,2.5,0.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_5_lambda_0_0.json
sciq,0.926,463,500,exponential,1.0,2.5,0.25,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_5_lambda_0_25.json
sciq,0.924,462,500,exponential,1.0,2.5,0.5,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_5_lambda_0_5.json
sciq,0.924,462,500,exponential,1.0,2.5,0.75,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_5_lambda_0_75.json
sciq,0.924,462,500,exponential,1.0,2.5,1.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_2_5_lambda_1_0.json
sciq,0.922,461,500,exponential,1.0,3.0,0.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_3_0_lambda_0_0.json
sciq,0.922,461,500,exponential,1.0,3.0,0.25,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_3_0_lambda_0_25.json
sciq,0.922,461,500,exponential,1.0,3.0,0.5,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_3_0_lambda_0_5.json
sciq,0.924,462,500,exponential,1.0,3.0,0.75,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_3_0_lambda_0_75.json
sciq,0.922,461,500,exponential,1.0,3.0,1.0,results/olmo1b/exp_sw_awq_sciq/sciq_exp_alpha0_3_0_lambda_1_0.json
